user.key;datetime;meter.reading;diff
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 01:12:49;876480;9
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 02:12:49;876480;0
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 03:12:49;876480;0
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 04:12:49;876480;0
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 05:12:46;876480;0
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 06:12:46;876506;26
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 07:12:46;876506;0
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 08:12:46;876515;9
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 09:12:39;876544;29
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 10:12:39;876544;0
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 11:12:39;876544;0
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 12:12:39;876544;0
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 13:12:36;876544;0
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 14:12:36;876545;1
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 15:12:36;876569;24
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 16:12:36;876589;20
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 17:12:43;876605;16
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 18:12:43;876605;0
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 19:12:43;876632;27
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 20:12:43;876639;7
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 21:12:46;876679;40
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 22:12:46;876690;11
df789230-d273-4fd0-aa24-6f5419469295;01/03/2016 23:12:46;876714;24
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 00:12:46;876727;13
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 01:12:34;876735;8
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 02:12:34;876738;3
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 03:12:34;876740;2
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 04:12:34;876743;3
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 05:12:46;876745;2
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 06:12:46;876747;2
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 07:12:46;876749;2
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 08:12:46;876762;13
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 09:12:42;876864;102
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 10:12:42;876869;5
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 11:12:42;876871;2
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 12:12:42;876873;2
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 13:12:34;876893;20
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 14:12:34;876939;46
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 15:12:34;876992;53
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 16:12:34;877006;14
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 17:12:33;877047;41
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 18:12:33;877063;16
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 19:12:33;877073;10
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 20:12:33;877089;16
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 21:14:06;877097;8
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 22:14:06;877099;2
df789230-d273-4fd0-aa24-6f5419469295;02/03/2016 23:14:06;877116;17
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 00:14:06;877393;277
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 01:12:44;877413;20
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 02:12:44;877423;10
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 03:12:44;877425;2
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 04:12:44;877427;2
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 05:12:32;877429;2
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 06:12:32;877431;2
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 07:12:32;877433;2
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 08:12:32;877435;2
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 09:12:38;877483;48
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 10:12:38;877486;3
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 11:12:38;877488;2
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 12:12:38;877491;3
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 13:12:47;877515;24
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 14:12:47;877520;5
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 15:12:47;877609;89
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 16:12:47;877647;38
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 17:12:44;877671;24
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 18:12:44;877687;16
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 19:12:44;877696;9
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 20:12:44;877696;0
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 21:12:44;877702;6
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 22:12:44;877712;10
df789230-d273-4fd0-aa24-6f5419469295;03/03/2016 23:12:44;877712;0
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 00:12:44;877712;0
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 01:12:43;877718;6
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 02:12:43;877723;5
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 03:12:43;877731;8
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 04:12:43;877731;0
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 05:12:44;877731;0
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 06:12:44;877731;0
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 07:12:44;877731;0
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 08:12:44;877743;12
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 13:12:42;877991;248
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 14:12:42;877998;7
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 15:12:42;878085;87
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 16:12:42;878112;27
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 17:12:39;878122;10
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 18:12:39;878122;0
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 19:12:39;878122;0
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 20:12:39;878122;0
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 21:12:36;878130;8
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 22:12:36;878137;7
df789230-d273-4fd0-aa24-6f5419469295;04/03/2016 23:12:36;878143;6
